id,caminho_original,nome_original,extensao,nome_proposto,categoria,status_antes_da_execucao,sha256
022,Photos-3-001/unnamed (15).webp,unnamed (15).webp,webp,marcus-reboque-hero-guincho-moto-fortaleza-ce-01.webp,02_HERO,seguro_para_renomeacao,25F5F259A068AE7CD362D9E341843455A44AFE72E051A2B88E0DC4265FAE0655
023,Photos-3-001/unnamed (16).webp,unnamed (16).webp,webp,marcus-reboque-hero-guincho-caminhonete-fortaleza-ce-02.webp,02_HERO,seguro_para_renomeacao,40B5366E9EDB531168409C4A11E5E62E4659F543AE6C53A1520EBFD040DAF969
024,Photos-3-001/unnamed (17).webp,unnamed (17).webp,webp,marcus-reboque-transporte-empilhadeira-fortaleza-ce-01.webp,12_EMPILHADEIRAS,seguro_para_renomeacao,5ED1CA4B50F4DB206C1B4F27266E3583D5CDF876ABA4947D746E144131D0C0DC
025,Photos-3-001/unnamed (18).webp,unnamed (18).webp,webp,marcus-reboque-guincho-van-fortaleza-ce-02.webp,06_VANS,seguro_para_renomeacao,88EB31FD5492BD9C65FC6ED75B3D1FE8F8034EE6566C274E9032BC63FFD227C0
026,Photos-3-001/unnamed (19).webp,unnamed (19).webp,webp,marcus-reboque-atendimento-real-carro-danificado-fortaleza-ce-01.webp,20_ATENDIMENTOS_REAIS,seguro_para_renomeacao,E29DC305D1732F23E292A2D010FF52650CE3A0CAEA09CE4E99A3D575D11B2CDF
027,Photos-3-001/unnamed (20).webp,unnamed (20).webp,webp,marcus-reboque-guincho-van-fortaleza-ce-03.webp,06_VANS,seguro_para_renomeacao,940378B25779FAED60AE5C735E86252D48EDDD2E8D36FAF7C77E178F38CB2788
028,Photos-3-001/unnamed (21).webp,unnamed (21).webp,webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-03.webp,05_CAMINHONETES,seguro_para_renomeacao,9F1D884BA9BCB9E6DB572842136392839664AA8127431C5243B64AEF81289D9C
029,Photos-3-001/unnamed (22).webp,unnamed (22).webp,webp,marcus-reboque-hero-guincho-carro-fortaleza-ce-01.webp,02_HERO,seguro_para_renomeacao,516F8028EFCA961D94B2536D683B1218136CBAF5155050FE356CBFCDF251CD8C
030,Photos-3-001/unnamed (23).webp,unnamed (23).webp,webp,marcus-reboque-guincho-carro-fortaleza-ce-07.webp,04_CARROS,seguro_para_renomeacao,65A26429D6CEAE8A9623265D3CE14E0890D766C33A4FF313F46C8EC2F4712293
031,Photos-3-001/unnamed (24).webp,unnamed (24).webp,webp,marcus-reboque-transporte-pequenas-cargas-fortaleza-ce-02.webp,14_PEQUENAS_CARGAS,seguro_para_renomeacao,18E2B412A08A3E994F4A3121E793AF3EBBEA935FD356F5C269A9956E29E83D1F
